content;level;topic;
Sie sieht jeden Abend ein bisschen fern.;A1.1;Satzklammer;
Können Sie mich bitte vom Bahnhof abholen?;A1.1;Satzklammer;
Ich fange jetzt mit der Arbeit an.;A1.1;Satzklammer;
Ich habe gestern eine Suppe gekocht.;A1.1;Perfekt mit haben: kochen;
Ich habe deine E-Mail bekommen.;A1.1;Perfekt mit haben: kochen;
Ich habe am Wochenende gearbeitet.;A1.1;Perfekt mit haben: kochen;
Wir haben lange auf den Bus gewartet.;A1.1;Perfekt mit haben: kochen;
Hast du gut geschlafen?;A1.1;Perfekt mit haben: kochen;
Was hast du am Freitag gemacht?;A1.1;Perfekt mit haben: kochen;
Habt ihr den Film schon gesehen?;A1.1;Perfekt mit haben: kochen;
Warum hast du mich nicht angerufen?;A1.1;Perfekt mit haben: kochen;
Er hat seine Hausaufgaben gemacht.;A1.1;Perfekt mit haben: kochen;
Sie hat ein neues Auto gekauft.;A1.1;Perfekt mit haben: kochen;
Die Kinder haben im Garten gespielt.;A1.1;Perfekt mit haben: kochen;
Peter hat seine Freundin zum Essen eingeladen.;A1.1;Perfekt mit haben: kochen;
Ich bin gestern im Park spazieren gegangen.;A1.1;Perfekt mit sein: spazieren gehen;
Ich bin letzte Woche nach Berlin gefahren.;A1.1;Perfekt mit sein: spazieren gehen;
Ich bin heute Morgen um 7 Uhr aufgestanden.;A1.1;Perfekt mit sein: spazieren gehen;
Wir sind am Wochenende zu Hause geblieben.;A1.1;Perfekt mit sein: spazieren gehen;
Bist du schon einmal nach New York geflogen?;A1.1;Perfekt mit sein: spazieren gehen;
Wann bist du gestern angekommen?;A1.1;Perfekt mit sein: spazieren gehen;
Seid ihr am Sonntag ins Museum gegangen?;A1.1;Perfekt mit sein: spazieren gehen;
Wohin bist du im Urlaub gereist?;A1.1;Perfekt mit sein: spazieren gehen;
Er ist mit dem Fahrrad zur Arbeit gefahren.;A1.1;Perfekt mit sein: spazieren gehen;
Sie ist die Treppe hinaufgegangen.;A1.1;Perfekt mit sein: spazieren gehen;
Der Zug ist pünktlich abgefahren.;A1.1;Perfekt mit sein: spazieren gehen;
Meine Grosseltern sind letztes Jahr umgezogen.;A1.1;Perfekt mit sein: spazieren gehen;
Gestern habe ich meine Freunde getroffen.;A1.1;Perfekt im Satz;
Letzte Woche bin ich ins Kino gegangen.;A1.1;Perfekt im Satz;
Ich habe die Nachrichten noch nicht gelesen.;A1.1;Perfekt im Satz;
Ich bin am Montag nach Hamburg gefahren.;A1.1;Perfekt im Satz;
Was hast du am Wochenende gemacht?;A1.1;Perfekt im Satz;
Wann bist du heute Morgen aufgestanden?;A1.1;Perfekt im Satz;
Hast du schon gefrühstückt?;A1.1;Perfekt im Satz;
Warum bist du so spät gekommen?;A1.1;Perfekt im Satz;
Er hat mir eine E-Mail geschrieben.;A1.1;Perfekt im Satz;
Sie ist nach dem Kurs nach Hause gegangen.;A1.1;Perfekt im Satz;
Der Bus ist gerade abgefahren.;A1.1;Perfekt im Satz;
Wir haben das ganze Wochenende gelernt.;A1.1;Perfekt im Satz;
Die Prüfung war schwer. Ich brauche eine gute Vorbereitung.;A1.2;Wortbildung Nomen;
Ich habe eine Einladung zu einer Hochzeit bekommen.;A1.2;Wortbildung Nomen;
Meiner Meinung nach ist das eine gute Idee.;A1.2;Wortbildung Nomen;
Die Lösung des Problems ist einfach.;A1.2;Wortbildung Nomen;
Wie lange dauert die Fahrt zum Flughafen?;A1.2;Wortbildung Nomen;
Was ist deine Empfehlung für ein gutes Restaurant?;A1.2;Wortbildung Nomen;
Brauchen Sie Hilfe bei der Bedienung des Automaten?;A1.2;Wortbildung Nomen;
Haben Sie eine Reservierung auf den Namen Schmidt?;A1.2;Wortbildung Nomen;
Die Eröffnung des neuen Museums findet morgen statt.;A1.2;Wortbildung Nomen;
Gesundheit ist das Wichtigste im Leben.;A1.2;Wortbildung Nomen;
Die Regierung hat eine neue Regelung beschlossen.;A1.2;Wortbildung Nomen;
"Die Endung von diesem Wort ist ""-ung"".";A1.2;Wortbildung Nomen;
Ich arbeite bei einer grossen internationalen Firma.;A1.2;Lokale Präposition: bei;
Ich habe einen Termin beim Zahnarzt.;A1.2;Lokale Präposition: bei;
Ich wohne bei meinen Eltern.;A1.2;Lokale Präposition: bei;
Ich kaufe mein Gemüse immer bei einem Bauern auf dem Markt.;A1.2;Lokale Präposition: bei;
Bist du bei der Arbeit?;A1.2;Lokale Präposition: bei;
Warst du schon beim Friseur?;A1.2;Lokale Präposition: bei;
Treffen wir uns bei dir zu Hause?;A1.2;Lokale Präposition: bei;
Liegt das Buch bei dir auf dem Tisch?;A1.2;Lokale Präposition: bei;
Er ist gerade bei einem Kunden.;A1.2;Lokale Präposition: bei;
Bei diesem Wetter bleiben wir lieber zu Hause.;A1.2;Lokale Präposition: bei;
Die Kinder spielen bei den Grosseltern im Garten.;A1.2;Lokale Präposition: bei;
Man kann bei der Touristeninformation Stadtpläne bekommen.;A1.2;Lokale Präposition: bei;
Ich arbeite als Programmierer.;A1.2;Modale Präposition: als;
Als Kind wollte ich immer Pilot werden.;A1.2;Modale Präposition: als;
Ich sehe das als eine grosse Chance für mich.;A1.2;Modale Präposition: als;
Ich esse lieber Fisch als Fleisch.;A1.2;Modale Präposition: als;
Was machst du als Nächstes?;A1.2;Modale Präposition: als;
Ist dein Bruder älter als du?;A1.2;Modale Präposition: als;
Möchtest du lieber Tee als Kaffee?;A1.2;Modale Präposition: als;
Als was arbeiten Sie?;A1.2;Modale Präposition: als;
Er ist schneller gelaufen als alle anderen.;A1.2;Modale Präposition: als;
Sie benutzt ihr Tuch als Kopfbedeckung.;A1.2;Modale Präposition: als;
Das Hotel war besser als erwartet.;A1.2;Modale Präposition: als;
Ein Auto ist teurer als ein Fahrrad.;A1.2;Modale Präposition: als;
Ich lerne seit sechs Monaten Deutsch.;A1.2;Temporale Präpositionen: vor, seit, für;
Ich fahre für zwei Wochen in den Urlaub.;A1.2;Temporale Präpositionen: vor, seit, für;
Ich gehe vor der Arbeit oft eine Runde joggen.;A1.2;Temporale Präpositionen: vor, seit, für;
Ich bin seit gestern erkältet.;A1.2;Temporale Präpositionen: vor, seit, für;
Seit wann wohnst du in dieser Stadt?;A1.2;Temporale Präpositionen: vor, seit, für;
Für wie lange ist die Bibliothek geöffnet?;A1.2;Temporale Präpositionen: vor, seit, für;
Trinken wir vor dem Film noch einen Kaffee?;A1.2;Temporale Präpositionen: vor, seit, für;
Nimmst du seit langer Zeit Medikamente?;A1.2;Temporale Präpositionen: vor, seit, für;
Er wartet seit einer Stunde auf den Bus.;A1.2;Temporale Präpositionen: vor, seit, für;
Vor dem Einschlafen lese ich immer ein paar Seiten.;A1.2;Temporale Präpositionen: vor, seit, für;
Das Angebot gilt nur für kurze Zeit.;A1.2;Temporale Präpositionen: vor, seit, für;
Seit dem Unfall hat sie Angst vor dem Autofahren.;A1.2;Temporale Präpositionen: vor, seit, für;
Ich war gestern den ganzen Tag zu Hause.;A1.2;Präteritum: sein, haben, war, hatte;
Ich hatte letzte Woche viel zu tun.;A1.2;Präteritum: sein, haben, war, hatte;
Wir waren sehr zufrieden mit dem Hotel.;A1.2;Präteritum: sein, haben, war, hatte;
Wir hatten grosses Glück mit dem Wetter.;A1.2;Präteritum: sein, haben, war, hatte;
Wo warst du im Urlaub?;A1.2;Präteritum: sein, haben, war, hatte;
Hattest du eine gute Reise?;A1.2;Präteritum: sein, haben, war, hatte;
Wart ihr schon einmal in diesem Restaurant?;A1.2;Präteritum: sein, haben, war, hatte;
Hatte der Laden gestern geöffnet?;A1.2;Präteritum: sein, haben, war, hatte;
Das Konzert war fantastisch.;A1.2;Präteritum: sein, haben, war, hatte;
Er hatte keine Ahnung von dem Plan.;A1.2;Präteritum: sein, haben, war, hatte;
Es war einmal ein König.;A1.2;Präteritum: sein, haben, war, hatte;
Früher hatten die Menschen keine Computer.;A1.2;Präteritum: sein, haben, war, hatte;
Ich muss heute Abend noch eine E-Mail schreiben.;A1.2;Modalverben: müssen, dürfen;
Ich darf während der Arbeit mein privates Handy nicht benutzen.;A1.2;Modalverben: müssen, dürfen;
Wir müssen morgen früh aufstehen.;A1.2;Modalverben: müssen, dürfen;
Ich muss unbedingt mit dir sprechen.;A1.2;Modalverben: müssen, dürfen;
Darf ich Sie etwas fragen?;A1.2;Modalverben: müssen, dürfen;
Musst du am Wochenende arbeiten?;A1.2;Modalverben: müssen, dürfen;
Dürfen wir hier Fotos machen?;A1.2;Modalverben: müssen, dürfen;
Was müssen wir für die Besprechung vorbereiten?;A1.2;Modalverben: müssen, dürfen;
Hier müssen alle Besucher einen Ausweis zeigen.;A1.2;Modalverben: müssen, dürfen;
Man darf im Zug nicht rauchen.;A1.2;Modalverben: müssen, dürfen;
Er muss eine Strafe bezahlen, weil er zu schnell gefahren ist.;A1.2;Modalverben: müssen, dürfen;
Kinder dürfen diesen Film nur in Begleitung von Erwachsenen sehen.;A1.2;Modalverben: müssen, dürfen;
Ich rufe dich später an.;A1.2;Satzklammer;
Wann kommt der Zug in München an?;A1.2;Satzklammer;
Er hat mir seine Hilfe angeboten.;A1.2;Satzklammer;
Sie will am Abend noch einkaufen gehen.;A1.2;Satzklammer;
Wir müssen die neuen Möbel noch aufbauen.;A1.2;Satzklammer;
Er hat vergessen, die Tür abzuschliessen.;A1.2;Satzklammer;
Ich habe vor, am Wochenende aufzuräumen.;A1.2;Satzklammer;
Holst du bitte die Post rein?;A1.2;Satzklammer;
Ich kann die Datei nicht öffnen.;A1.2;Satzklammer;
Sie hat angefangen, ein Buch zu schreiben.;A1.2;Satzklammer;
Ich möchte dich zum Abendessen einladen.;A1.2;Satzklammer;
Er ist gestern nach Berlin umgezogen.;A1.2;Satzklammer;
In diesem Restaurant kann man sehr gut essen.;A1.2;Pronomen: man;
Man sollte jeden Tag Obst und Gemüse essen.;A1.2;Pronomen: man;
Ich finde, man sollte mehr reisen.;A1.2;Pronomen: man;
Man lernt nie aus.;A1.2;Pronomen: man;
Wo kann man hier Tickets kaufen?;A1.2;Pronomen: man;
Wie kommt man von hier zum Bahnhof?;A1.2;Pronomen: man;
Darf man hier parken?;A1.2;Pronomen: man;
Was macht man bei diesem Wetter am besten?;A1.2;Pronomen: man;
In Deutschland trinkt man viel Bier.;A1.2;Pronomen: man;
Man muss die Anweisungen genau befolgen.;A1.2;Pronomen: man;
Wenn man krank ist, sollte man zum Arzt gehen.;A1.2;Pronomen: man;
Man sagt, dass Lachen gesund ist.;A1.2;Pronomen: man;
Gib mir bitte das Buch.;A1.2;Imperativ;
Fahr bitte vorsichtig!;A1.2;Imperativ;
Seien Sie bitte leise.;A1.2;Imperativ;
Hab keine Angst.;A1.2;Imperativ;
Nehmen Sie Platz.;A1.2;Imperativ;
Warte einen Moment auf mich.;A1.2;Imperativ;
Iss dein Gemüse auf.;A1.2;Imperativ;
Schreibt die Sätze bitte an die Tafel.;A1.2;Imperativ;
Helfen Sie mir bitte mit dem Koffer.;A1.2;Imperativ;
Lies den Text laut vor.;A1.2;Imperativ;
Machen Sie bitte die Tür zu.;A1.2;Imperativ;
Seid nicht so laut, die Nachbarn schlafen schon.;A1.2;Imperativ;
Ich helfe dir gerne bei den Hausaufgaben.;A1.2;Verbkonjugation: helfen;
Ich helfe meinem Nachbarn oft im Garten.;A1.2;Verbkonjugation: helfen;
Wir helfen bei der Organisation des Festes.;A1.2;Verbkonjugation: helfen;
Ich habe ihm geholfen, die schwere Tasche zu tragen.;A1.2;Verbkonjugation: helfen;
Hilfst du mir, den Tisch zu decken?;A1.2;Verbkonjugation: helfen;
Wobei kann ich Ihnen helfen?;A1.2;Verbkonjugation: helfen;
Warum hilft ihm niemand?;A1.2;Verbkonjugation: helfen;
Helft ihr uns beim Umzug?;A1.2;Verbkonjugation: helfen;
Ein guter Freund hilft in der Not.;A1.2;Verbkonjugation: helfen;
Die Salbe hilft gegen die Schmerzen.;A1.2;Verbkonjugation: helfen;
Er hilft seiner Schwester bei den Schulaufgaben.;A1.2;Verbkonjugation: helfen;
Dieses Medikament hat mir sehr gut geholfen.;A1.2;Verbkonjugation: helfen;
Unser Auto ist in der Werkstatt.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Ich habe dein Buch auf dem Tisch gefunden.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Ich kenne seinen Bruder sehr gut.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Ich habe ihre Telefonnummer nicht.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Ist das dein Schlüssel?;A1.2;Possessivartikel: dein, sein, ihr, unser;
Wie gefällt dir unsere neue Wohnung?;A1.2;Possessivartikel: dein, sein, ihr, unser;
Wo hat er seinen Regenschirm gelassen?;A1.2;Possessivartikel: dein, sein, ihr, unser;
Was ist ihr Lieblingsessen?;A1.2;Possessivartikel: dein, sein, ihr, unser;
Sein Flug hat eine Stunde Verspätung.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Ihre Kinder gehen in dieselbe Schule wie unsere.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Dein Vorschlag klingt sehr interessant.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Unser Garten braucht dringend Wasser.;A1.2;Possessivartikel: dein, sein, ihr, unser;
Ich soll die Medikamente dreimal am Tag nehmen.;A1.2;Modalverb: sollen;
Der Arzt hat gesagt, ich soll mehr Sport machen.;A1.2;Modalverb: sollen;
Wir sollen unsere Hausaufgaben bis morgen erledigen.;A1.2;Modalverb: sollen;
Ich weiss nicht, was ich jetzt tun soll.;A1.2;Modalverb: sollen;
Soll ich dir einen Tee machen?;A1.2;Modalverb: sollen;
Was soll das bedeuten?;A1.2;Modalverb: sollen;
Wann sollen wir uns treffen?;A1.2;Modalverb: sollen;
Sollen wir am Wochenende etwas zusammen unternehmen?;A1.2;Modalverb: sollen;
Du sollst nicht so frech zu deiner Mutter sein.;A1.2;Modalverb: sollen;
Laut Wetterbericht soll es morgen regnen.;A1.2;Modalverb: sollen;
Man soll den Tag nicht vor dem Abend loben.;A1.2;Modalverb: sollen;
Die Rechnung soll sofort bezahlt werden.;A1.2;Modalverb: sollen;
Ich habe gestern Abend ferngesehen.;A1.2;Satzklammer;
Morgen früh stehe ich um 6 Uhr auf.;A1.2;Satzklammer;
Ich möchte dich gerne zum Essen einladen.;A1.2;Satzklammer;
Wir können uns am Bahnhof treffen.;A1.2;Satzklammer;
Kannst du bitte das Fenster aufmachen?;A1.2;Satzklammer;
Wann fängt der Deutschkurs an?;A1.2;Satzklammer;
Willst du am Samstag mitkommen?;A1.2;Satzklammer;
Hast du die Tür zugemacht?;A1.2;Satzklammer;
Er hat vergessen, seinen Freund anzurufen.;A1.2;Satzklammer;
Sie ist pünktlich am Flughafen angekommen.;A1.2;Satzklammer;
Der Müll muss rausgebracht werden.;A1.2;Satzklammer;
Ich habe aufgehört zu rauchen.;A1.2;Satzklammer;
Ich gehe heute mit meinen Freunden ins Kino.;A1.2;Präposition: mit;
Ich fahre jeden Tag mit dem Fahrrad zur Arbeit.;A1.2;Präposition: mit;
Ich trinke meinen Kaffee am liebsten mit viel Milch.;A1.2;Präposition: mit;
Ich habe gestern lange mit meiner Schwester telefoniert.;A1.2;Präposition: mit;
Mit wem sprichst du gerade?;A1.2;Präposition: mit;
Kommst du mit ins Schwimmbad?;A1.2;Präposition: mit;
Fährst du mit dem Auto oder mit dem Zug?;A1.2;Präposition: mit;
Bist du mit dem Ergebnis zufrieden?;A1.2;Präposition: mit;
Er schreibt mit einem schwarzen Stift.;A1.2;Präposition: mit;
Das ist ein Haus mit einem schönen Garten.;A1.2;Präposition: mit;
Sie bezahlt die Rechnung mit ihrer Kreditkarte.;A1.2;Präposition: mit;
Ein Gespräch mit dem Chef ist notwendig.;A1.2;Präposition: mit;
Ich gehe heute Abend zu Freunden.;A1.2;Lokale Präpositionen: zu, nach, in;
Ich fahre im Sommer nach Italien.;A1.2;Lokale Präpositionen: zu, nach, in;
Ich bin in der Küche und koche.;A1.2;Lokale Präpositionen: zu, nach, in;
Wir müssen heute noch zur Post gehen.;A1.2;Lokale Präpositionen: zu, nach, in;
Gehst du oft ins Fitnessstudio?;A1.2;Lokale Präpositionen: zu, nach, in;
Wann fahrt ihr nach Hause?;A1.2;Lokale Präpositionen: zu, nach, in;
Bist du schon in Deutschland gewesen?;A1.2;Lokale Präpositionen: zu, nach, in;
Zu wem gehört dieses Auto?;A1.2;Lokale Präpositionen: zu, nach, in;
Der Zug fährt nach Berlin.;A1.2;Lokale Präpositionen: zu, nach, in;
Die Kinder gehen in die Schule.;A1.2;Lokale Präpositionen: zu, nach, in;
Er geht jeden Morgen zum Bäcker.;A1.2;Lokale Präpositionen: zu, nach, in;
Sie ist gerade in einer Besprechung.;A1.2;Lokale Präpositionen: zu, nach, in;
Ich arbeite von Montag bis Freitag.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Ab morgen habe ich Urlaub.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Nach der Arbeit gehe ich einkaufen.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Vor dem Schlafen putze ich mir die Zähne.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Bis wann müssen wir die Aufgabe abgeben?;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Was machst du beim Warten auf den Bus?;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Kommst du in einer Stunde mit?;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Ab wann ist das Geschäft geöffnet?;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Das Museum ist bis 18 Uhr geöffnet.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Beim Essen soll man nicht sprechen.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Er kommt in fünf Minuten.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Nach dem Regen scheint oft die Sonne.;A1.2;Temporale Präpositionen: vor, nach, bei, in, bis, ab;
Ich würde gerne eine Weltreise machen.;A1.2;Konjunktiv II: würde, könnte;
An deiner Stelle würde ich das Angebot annehmen.;A1.2;Konjunktiv II: würde, könnte;
Ich könnte dir morgen beim Umzug helfen.;A1.2;Konjunktiv II: würde, könnte;
Ich würde jetzt am liebsten am Strand liegen.;A1.2;Konjunktiv II: würde, könnte;
Könnten Sie mir bitte sagen, wie spät es ist?;A1.2;Konjunktiv II: würde, könnte;
Würdest du bitte das Fenster schliessen?;A1.2;Konjunktiv II: würde, könnte;
Was würden Sie in meiner Situation tun?;A1.2;Konjunktiv II: würde, könnte;
Könnte es sein, dass wir uns schon einmal getroffen haben?;A1.2;Konjunktiv II: würde, könnte;
Es würde mich sehr freuen, von Ihnen zu hören.;A1.2;Konjunktiv II: würde, könnte;
Das könnte eine gute Lösung sein.;A1.2;Konjunktiv II: würde, könnte;
Er würde gerne besser Englisch sprechen.;A1.2;Konjunktiv II: würde, könnte;
Sie könnte vielleicht im Stau stehen.;A1.2;Konjunktiv II: würde, könnte;
Ich habe heute Morgen verschlafen.;A1.2;Satzklammer;
Sie hat ihre Freundin vom Bahnhof abgeholt.;A1.2;Satzklammer;
Wann hast du vor, zurückzukommen?;A1.2;Satzklammer;
Ich fange jetzt an, das Buch zu lesen.;A1.2;Satzklammer;
Hast du daran gedacht, die Blumen zu giessen?;A1.2;Satzklammer;
Warum hast du den Fernseher angelassen?;A1.2;Satzklammer;
Können Sie bitte das Formular ausfüllen?;A1.2;Satzklammer;
Wollen wir heute Abend zusammen kochen?;A1.2;Satzklammer;
Der Wecker hat um sechs Uhr geklingelt.;A1.2;Satzklammer;
Er hat versucht, das Problem zu lösen.;A1.2;Satzklammer;
Sie ist mit dem Fahrrad zur Arbeit gefahren.;A1.2;Satzklammer;
Ich muss unbedingt noch im Supermarkt einkaufen.;A1.2;Satzklammer;
Ich mache morgens immer das Fenster auf.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Abends mache ich das Licht im Wohnzimmer an.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Ich schalte den Computer aus, wenn ich gehe.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Ich habe vergessen, die Heizung auszuschalten.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Machst du bitte die Tür zu?;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Schaltest du bitte den Fernseher ein?;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Warum hast du das Radio nicht ausgeschaltet?;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Kannst du das Fenster im Bad aufmachen?;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Der Laden macht um 20 Uhr zu.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Er hat den Motor ein- und wieder ausgeschaltet.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Sie macht die Dose auf, um zu sehen, was drin ist.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Das Licht schaltet sich automatisch ein.;A1.2;Verben mit verschiedenen Präfixen: auf-, zumachen; ein-, ausschalten
Ich hätte gerne diesen Salat, bitte.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Dieses Buch habe ich schon gelesen.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Ich finde, das ist keine gute Idee.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Die da drüben kenne ich nicht.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Welches Kleid gefällt dir besser, dieses oder das?;A1.2;Demonstrativpronomen: der, das, die, dies-;
Ist das dein Ernst?;A1.2;Demonstrativpronomen: der, das, die, dies-;
Wer ist der Mann dort?;A1.2;Demonstrativpronomen: der, das, die, dies-;
Sind diese Plätze noch frei?;A1.2;Demonstrativpronomen: der, das, die, dies-;
Dieser Weg führt direkt zum Zentrum.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Das Auto dort gehört meinem Nachbarn.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Die Blumen hier sind für dich.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Mit diesem Gerät kann man alles machen.;A1.2;Demonstrativpronomen: der, das, die, dies-;
Welcher Bus fährt zum Alexanderplatz?;A1.2;Frageartikel: welcher;
Welches Buch liest du im Moment?;A1.2;Frageartikel: welcher;
Welche Musik hörst du gerne?;A1.2;Frageartikel: welcher;
Ich weiss nicht, welchen Film wir sehen sollen.;A1.2;Frageartikel: welcher;
Aus welchem Land kommen Sie?;A1.2;Frageartikel: welcher;
In welcher Strasse wohnen Sie?;A1.2;Frageartikel: welcher;
Mit welchem Zug fährst du?;A1.2;Frageartikel: welcher;
An welchem Tag hast du Geburtstag?;A1.2;Frageartikel: welcher;
Er fragt, welches Gericht am besten schmeckt.;A1.2;Frageartikel: welcher;
Sie überlegt, welches Kleid sie anziehen soll.;A1.2;Frageartikel: welcher;
Es ist unklar, welcher Kandidat gewinnen wird.;A1.2;Frageartikel: welcher;
Die Frage ist, welche Entscheidung die richtige ist.;A1.2;Frageartikel: welcher;
Kannst du mir bitte helfen?;A1.2;Personalpronomen im Dativ: mir, dir;
Ich gebe dir morgen das Buch zurück.;A1.2;Personalpronomen im Dativ: mir, dir;
Mir ist sehr kalt, kannst du das Fenster schliessen?;A1.2;Personalpronomen im Dativ: mir, dir;
Wie geht es dir heute?;A1.2;Personalpronomen im Dativ: mir, dir;
Gefällt dir mein neues Fahrrad?;A1.2;Personalpronomen im Dativ: mir, dir;
Schenkst du mir etwas zum Geburtstag?;A1.2;Personalpronomen im Dativ: mir, dir;
Kann ich dir ein Geheimnis anvertrauen?;A1.2;Personalpronomen im Dativ: mir, dir;
Gehört die Jacke dir?;A1.2;Personalpronomen im Dativ: mir, dir;
Der Kellner bringt mir die Speisekarte.;A1.2;Personalpronomen im Dativ: mir, dir;
Der Arzt hat mir neue Tabletten verschrieben.;A1.2;Personalpronomen im Dativ: mir, dir;
Deine Erklärung hilft mir sehr.;A1.2;Personalpronomen im Dativ: mir, dir;
Er hat dir eine Nachricht geschickt.;A1.2;Personalpronomen im Dativ: mir, dir;
Mir gefällt die blaue Jacke besser.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Diese Schuhe passen mir leider nicht.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Ich glaube, dieser Regenschirm gehört mir.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Deine neue Frisur gefällt mir sehr gut.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Gefällt Ihnen die Wohnung?;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Wem gehört das Auto vor der Tür?;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Passt Ihnen der Termin am Montag um 10 Uhr?;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Gefallen dir die Bilder an der Wand?;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Das Haus gehört einer sehr netten Familie.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Der Deckel passt nicht auf diesen Topf.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Das Ende des Films hat mir nicht gefallen.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Die Antwort auf die Frage gehört nicht hierher.;A1.2;Verben mit Dativ: gefallen, gehören, passen;
Ich spiele gut Tennis, aber mein Bruder spielt besser.;A1.2;Komparation: gut, gern, viel;
Ich esse viel, aber am meisten esse ich am Wochenende.;A1.2;Komparation: gut, gern, viel;
Ich reise gern, aber am liebsten reise ich nach Italien.;A1.2;Komparation: gut, gern, viel;
Ich finde diesen Film gut, aber der andere war am besten.;A1.2;Komparation: gut, gern, viel;
Was machst du lieber: Sport oder Musik?;A1.2;Komparation: gut, gern, viel;
Wer hat mehr Geld verdient?;A1.2;Komparation: gut, gern, viel;
Welches Restaurant ist besser?;A1.2;Komparation: gut, gern, viel;
Was trinkst du am liebsten zum Frühstück?;A1.2;Komparation: gut, gern, viel;
Er kann viel besser Englisch sprechen als ich.;A1.2;Komparation: gut, gern, viel;
Sie hat die meisten Punkte im Test erreicht.;A1.2;Komparation: gut, gern, viel;
Am besten schmeckt es bei meiner Grossmutter.;A1.2;Komparation: gut, gern, viel;
Freunde sind gut, aber mehr Freunde sind besser.;A1.2;Komparation: gut, gern, viel;
Ich mag den Sommer.;A1.2;Verbkonjugation: mögen;
Ich mag es, wenn Leute pünktlich sind.;A1.2;Verbkonjugation: mögen;
Wir mögen unsere neue Lehrerin sehr.;A1.2;Verbkonjugation: mögen;
Ich mag keine laute Musik am Morgen.;A1.2;Verbkonjugation: mögen;
Magst du Kaffee oder Tee?;A1.2;Verbkonjugation: mögen;
Was magst du an deinem Job am liebsten?;A1.2;Verbkonjugation: mögen;
Mögt ihr es, ins Museum zu gehen?;A1.2;Verbkonjugation: mögen;
Warum mag er mich nicht?;A1.2;Verbkonjugation: mögen;
Er mag es nicht, wenn man ihn beim Lesen stört.;A1.2;Verbkonjugation: mögen;
Sie mag Tiere, besonders Hunde.;A1.2;Verbkonjugation: mögen;
Das Kind mag keinen Spinat.;A1.2;Verbkonjugation: mögen;
Die meisten Menschen mögen Schokolade.;A1.2;Verbkonjugation: mögen;
Ich wohne im dritten Stock.;A1.2;Ordinalzahlen;
Mein Geburtstag ist am vierundzwanzigsten Dezember.;A1.2;Ordinalzahlen;
Das war mein erstes Mal in Deutschland.;A1.2;Ordinalzahlen;
Wir feiern heute unseren fünften Hochzeitstag.;A1.2;Ordinalzahlen;
